Volume,Permittivity,Conductivity,Bend,Feed,S11,VSWR,Gain,Efficiency,Bandwidth,WiFi Fault,BT Fault,WiFi Status,BT Status,epsilon_r
2634.316544,1.51,12210.65,0.56,-10.27,-7.09,3.41,5.09,62.26,102.74,Cracks,Cracks,Fault,Fault,3.9
1895.8867200000002,1.61,9589.73,0.48,-17.33,-7.92,2.47,5.17,66.61,96.06,Rupture_Coupure,No_Fault,Fault,Normal,3.03
1840.8985920000002,1.53,4067.44,0.99,-11.95,-18.97,3.2,5.07,83.42,150.03,Bending,Strong_Flexion,Fault,Fault,3.65
2176.226892,1.88,13052.58,0.67,-10.07,-12.89,1.72,3.83,42.22,54.23,Body_Effect,Coupure,Fault,Fault,3.51
2396.4158399999997,2.44,12682.11,1.08,-17.57,-22.94,1.44,3.48,77.39,93.0,Strong_Flexion,No_Fault,Fault,Normal,2.06
1551.6943820000001,1.8,6484.08,0.87,-17.98,-10.36,1.05,-0.83,58.1,150.01,Humidity_Sweat,Conductivity_Degradation,Fault,Fault,1.62
1206.098586,1.92,6802.63,0.9,-9.53,-14.41,1.67,4.38,49.54,59.47,Cracks,Coupure,Fault,Fault,1.8
2270.8314419999997,2.33,12306.06,0.54,-14.3,-11.18,1.4,4.96,33.48,46.41,Cracks,Strong_Flexion,Fault,Fault,2.56
1660.173165,1.66,10656.42,0.28,-21.62,-6.3,3.33,-0.3,74.18,138.77,Humidity_Sweat,Strong_Flexion,Fault,Fault,3.48
1324.8873039999999,2.03,11400.38,1.14,-9.39,-9.47,2.9,5.99,66.57,133.8,Humidity_Sweat,No_Fault,Fault,Normal,2.97
1704.2536719999998,1.82,4049.78,0.45,-19.55,-17.16,3.14,-0.18,52.73,131.06,Conductivity_Degradation,Strong_Flexion,Fault,Fault,2.88
2298.820818,1.89,7973.02,0.82,-24.97,-20.77,2.0,0.68,68.24,85.44,Rupture_Coupure,No_Fault,Fault,Normal,1.72
2551.78623,1.54,10348.89,0.97,-18.81,-4.1,1.73,1.23,54.17,48.77,Strong_Flexion,Cracks,Fault,Fault,2.48
1827.1889999999999,1.56,12709.79,0.62,-19.3,-23.87,3.81,-0.21,64.32,136.24,Bending,Conductivity_Degradation,Fault,Fault,2.77
